""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"alg12"	1441	1445	1329	1469	1482	1350	1186	1225
"alg13"	7846	6228	6308	6231	5708	5040	6876	4251
"alg14"	568	602	652	588	661	395	423	310
"alg2"	372	465	492	456	412	353	401	320
"alg5"	1885	1804	1543	1930	1782	1484	1672	1364
"alg6"	482	507	444	400	464	459	397	469
"alg8"	737	839	861	873	793	672	707	715
"alg9"	2123	1958	1981	1983	1669	1564	1712	1172
"alkal2b"	3	1	1	0	0	0	3	2
"alkbh1"	700	660	651	728	581	545	544	427
"alkbh2"	286	228	242	234	234	240	263	245
"alkbh3"	783	734	703	641	677	487	731	363
"alkbh4"	642	646	538	658	471	485	487	371
"alkbh5"	739	1018	541	841	1021	795	587	553
"alkbh6"	810	730	634	717	649	621	597	405
"alkbh7"	917	805	727	889	791	662	778	611
"alkbh8"	4018	4054	3513	3506	3775	3238	3550	2846
"allc"	33	15	18	35	24	29	23	11
"alms1"	2420	2322	2449	2242	2992	2548	2524	2379
"alox12"	15	2	2	8	6	33	6	3
"alox5a"	44	55	47	34	68	144	81	157
"alox5ap"	3	9	6	5	23	41	25	65
"alp3"	2	4	0	3	3	3	3	1
"alpi.1"	1	0	4	1	28	36	37	26
"alpi.2"	372	254	479	458	606	559	559	346
"alpk1"	6541	5828	5315	5705	5125	4309	4992	3564
"alpk2"	40	43	40	17	26	22	18	21
"alpk3a"	3	6	12	6	7	8	6	3
"alx1"	0	0	0	0	0	0	0	1
"amacr"	1237	1367	965	1396	1158	918	1305	861
"ambra1b"	1889	1817	1784	1552	2180	1732	2349	1616
"amdhd1"	313	333	300	378	296	289	290	160
"amdhd2"	1924	2434	1967	2204	2043	1781	2082	1638
"amfra"	244	255	205	226	299	291	271	260
"amh"	9649	17102	10991	13247	20274	28162	22702	22926
"amigo1"	8	11	8	7	6	5	7	6
"amigo3"	0	0	0	0	0	0	1	0
"amn1"	227	174	187	220	158	167	243	182
"amotl2a"	460	370	337	408	227	200	360	188
"ampd1"	81	907	890	1123	683	13	951	1214
"ampd2b"	0	0	1	2	1	1	2	0
"ampd3"	85	121	121	134	251	479	243	417
"amph"	1410	1119	939	1388	1258	387	1343	471
"ampm1"	5128	4580	4458	4701	4166	3564	4266	2872
"amt"	1197	1182	1052	1220	1119	1167	1097	928
"an32a"	1572	1137	1099	1375	1332	1163	1043	1050
"an32b"	882	776	596	953	660	694	683	506
"anapc10"	389	291	296	464	304	219	306	250
"anapc13"	74	67	55	75	55	63	37	62
"anapc2"	641	433	483	432	368	422	438	355
"anapc4"	4187	4361	3627	4346	3457	3062	3208	2366
"anapc5"	7806	7015	6548	7243	5766	4839	5892	4108
"anapc7"	2162	1864	1855	2048	1946	1792	2224	1648
"and1"	8	7	5	7	6	20	12	16
"anfc1"	1	0	2	3	5	0	0	0
"ang1"	0	0	0	0	0	0	0	0
"angel1"	3009	2751	2897	2999	3168	1968	2358	1617
"angel2"	962	768	742	628	863	765	877	659
"angl1"	6	2	2	2	11	20	6	22
"angl4"	49	57	38	60	38	96	40	199
"angpt2b"	8	8	27	7	19	18	18	20
"angpt4"	6	3	1	1	4	6	3	4
"angptl1a"	11	5	1	9	13	27	16	27
"angptl2a"	18	17	4	5	46	72	38	36
"angptl3"	20	10	16	13	9	15	11	6
"ank1a"	39	28	47	52	94	97	86	72
"ank1b"	99	19	18	28	28	35	36	41
"ankar"	2700	2472	2354	2672	2077	1838	2240	1293
"ankdd1a"	9	6	23	11	8	24	20	35
"ankef1a"	1669	1505	1442	1524	1496	1197	1455	958
"ankfn1"	749	300	323	487	333	267	337	294
"ankhb"	623	579	556	618	659	683	680	566
"ankhd1"	7933	7400	7450	6100	7842	6748	8270	5153
"ankk1"	0	0	0	0	0	0	1	0
"ankle1"	730	670	924	885	935	913	994	695
"ankmy1"	467	478	428	560	438	311	465	313
"ankmy2a"	921	892	692	908	616	687	695	467
"ankra2"	118	122	104	115	137	123	146	140
"ankrd10a"	776	854	751	771	651	675	707	467
"ankrd10b"	168	236	198	238	291	401	313	455
"ankrd12"	2814	2240	2344	2024	2827	3018	2556	2054
"ankrd13d"	483	478	486	595	563	552	643	444
"ankrd22"	1051	886	526	950	674	680	662	627
"ankrd24"	110	157	112	103	213	285	205	103
"ankrd27"	1537	1614	1662	1410	1008	1016	1210	871
"ankrd33ba"	2	3	7	2	12	13	11	23
"ankrd34bb"	1	0	1	0	1	1	1	1
"ankrd34c"	1	8	8	0	1	3	0	1
"ankrd37"	470	515	347	452	503	366	458	292
"ankrd39"	311	281	318	371	300	236	223	147
"ankrd45"	29	28	21	42	11	15	18	10
"ankrd49"	1850	2234	1673	1782	1599	1493	1928	1141
"ankrd50l"	10	9	19	16	20	28	27	43
"ankrd53"	625	758	496	523	490	558	651	360
"ankrd55"	15	4	14	20	12	24	14	6
"ankrd6a"	6	3	4	5	1	2	4	6
"ankrd9"	3	2	7	4	3	8	5	1
"anks1ab"	63	38	73	62	21	28	76	35
"anks1b"	90	118	86	74	145	254	129	177
"anks3"	1490	1426	1325	1439	1506	1327	1481	1156
"ankzf1"	1604	1132	920	1020	1251	1054	1149	871
"ano10a"	597	567	517	563	581	555	643	509
"ano3"	1	1	0	2	1	2	1	0
"ano5a"	127	128	108	117	242	397	247	464
"ano7"	1	0	1	2	3	6	3	1
"ano8b"	52	46	27	23	26	66	44	61
"anos1b"	31	35	56	45	88	106	58	88
"anp32a"	1255	893	786	1101	1054	872	851	739
"anp32b"	2007	1509	1276	1950	1772	1611	1476	1478
"anpepa"	39	24	9	27	11	12	9	16
"antithrombin"	89	69	129	132	88	78	69	52
"antkmt"	27	28	29	40	39	50	38	72
"antxr2b"	367	365	402	691	448	347	571	344
"anx11"	195	261	244	287	302	663	446	875
"anx2a"	335	310	250	329	456	502	512	764
"anxa1"	16790	15461	11617	14981	11959	11652	11689	11362
"anxa11a"	274	315	223	320	340	704	451	683
"anxa13l"	11843	11163	8903	10117	9078	8548	9170	4054
"anxa14"	1	2	1	2	2	1	2	4
"anxa3b"	3360	3011	2487	3324	2500	2805	2672	2350
"anxa4"	1404	1143	1103	1431	1124	1432	1089	1483
"anxa5b"	48	55	29	48	85	143	121	258
"anxa6"	19	16	20	13	23	49	30	52
"aoc1"	2	3	3	4	4	1	3	2
"aopep"	52	46	36	47	42	47	56	49
"aox5"	869	98	594	1049	261	313	608	298
"aox6"	4213	3694	3767	4381	3520	3280	3549	2730
"ap180"	273	162	224	180	173	182	282	141
