""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"LOC106590374"	356	289	312	361	317	282	330	175
"LOC106590375"	424	461	483	403	640	572	725	463
"LOC106590377"	551	796	489	816	653	646	657	695
"LOC106590380"	686	632	482	539	513	495	431	374
"LOC106590383"	1	4	0	3	5	10	10	4
"LOC106590384"	23	17	17	17	25	8	18	17
"LOC106590389"	0	2	0	0	0	1	0	0
"LOC106590390"	1	2	0	0	2	1	1	1
"LOC106590392"	0	0	0	0	0	0	2	0
"LOC106590393"	546	548	486	518	654	475	643	442
"LOC106590394"	3162	2792	2500	2782	2876	2500	3053	2013
"LOC106590396"	2961	2758	2475	2631	2319	2481	2639	1652
"LOC106590397"	5	16	43	30	28	7	22	15
"LOC106590398"	2	7	2	3	0	5	7	8
"LOC106590399"	14	13	6	5	13	11	24	25
"LOC106590400"	1008	805	729	716	766	785	815	624
"LOC106590401"	1168	997	965	941	1281	1212	1236	963
"LOC106590402"	312	413	382	409	596	958	681	1345
"LOC106590404"	837	712	690	706	717	615	960	548
"LOC106590406"	3688	3507	3207	3490	3264	2816	3219	2031
"LOC106590408"	410	411	488	582	748	1051	867	1100
"LOC106590409"	247	161	90	85	82	200	230	136
"LOC106590410"	826	882	833	793	958	594	912	496
"LOC106590411"	141	123	70	64	129	195	165	472
"LOC106590412"	72	79	70	70	85	94	132	42
"LOC106590413"	1660	1391	1193	1482	1268	1210	1258	1179
"LOC106590414"	260	298	237	306	296	318	370	316
"LOC106590416"	1082	954	801	929	898	1235	1019	1110
"LOC106590419"	2490	2344	1831	2207	2234	1991	2062	1697
"LOC106590420"	62	68	55	58	107	114	85	86
"LOC106590423"	125	135	137	115	141	129	145	87
"LOC106590424"	231	115	161	153	200	260	207	288
"LOC106590425"	300	418	331	320	363	386	283	257
"LOC106590426"	1395	1200	1204	1557	1227	1430	1100	1340
"LOC106590427"	40	32	23	11	15	3	29	11
"LOC106590429"	641	789	661	510	901	979	965	905
"LOC106590430"	205	196	170	216	176	166	167	160
"LOC106590431"	1	2	5	8	1	3	2	1
"LOC106590432"	1351	1210	1279	1218	1427	1174	1175	975
"LOC106590434"	4026	3449	3655	3534	4364	3508	4647	2743
"LOC106590435"	2085	1908	1920	2028	1636	1423	1838	1143
"LOC106590436"	2	1	1	1	2	2	0	2
"LOC106590437"	416	381	459	398	406	274	480	265
"LOC106590438"	965	807	984	914	1090	791	1003	697
"LOC106590441"	1	1	0	0	1	1	1	6
"LOC106590442"	3395	3612	3192	2377	3634	3806	3767	2585
"LOC106590443"	1051	932	745	892	844	749	887	644
"LOC106590444"	2345	2457	1990	2036	2374	1892	2766	1397
"LOC106590445"	54	31	40	34	41	41	56	35
"LOC106590446"	0	0	0	1	0	1	0	1
"LOC106590447"	23	17	32	30	22	37	58	54
"LOC106590448"	1615	1457	1283	1515	1267	1196	1402	946
"LOC106590450"	5051	5071	4298	5146	4914	6526	5146	6892
"LOC106590452"	1	1	3	1	2	4	0	0
"LOC106590453"	8	9	4	7	17	142	5	40
"LOC106590454"	1105	1123	1125	863	1607	1178	1673	987
"LOC106590456"	19	11	31	16	4	8	20	22
"LOC106590460"	0	0	1	0	2	1	0	1
"LOC106590461"	667	530	443	830	515	475	442	384
"LOC106590463"	568	401	381	342	344	339	363	217
"LOC106590464"	411	372	326	332	481	540	538	458
"LOC106590466"	80	55	96	62	83	98	126	127
"LOC106590467"	332	251	227	287	256	190	242	186
"LOC106590468"	29	17	24	11	15	26	27	16
"LOC106590469"	2592	2091	2642	1865	2668	2254	2470	1746
"LOC106590470"	225	211	184	143	183	217	156	222
"LOC106590471"	479	453	523	445	475	352	504	329
"LOC106590472"	1022	1246	969	1154	1211	1067	1003	905
"LOC106590473"	1257	1449	1298	1146	1382	1170	1361	844
"LOC106590474"	6496	6682	5890	6914	5505	5062	6134	4439
"LOC106590475"	577	473	407	460	529	284	491	230
"LOC106590477"	1551	1442	1299	1651	1205	1086	1154	874
"LOC106590478"	299	248	289	237	259	347	283	268
"LOC106590479"	22	22	15	12	8	16	13	27
"LOC106590481"	68	49	28	40	27	7	31	35
"LOC106590483"	7	4	2	2	2	20	1	11
"LOC106590484"	1	0	0	0	2	1	2	2
"LOC106590485"	83	71	65	85	110	149	110	185
"LOC106590486"	4323	4116	3640	4421	3282	3728	3075	2919
"LOC106590487"	1067	1011	1010	833	1165	949	1163	868
"LOC106590489"	5346	5267	4186	5230	4960	5302	4479	4449
"LOC106590491"	2312	1722	1560	1651	1846	1144	1440	888
"LOC106590492"	131	80	120	117	123	64	156	62
"LOC106590493"	272	88	144	204	341	14	173	313
"LOC106590494"	28	25	37	41	39	99	78	86
"LOC106590495"	40	34	25	35	34	28	21	25
"LOC106590496"	5	3	3	5	13	19	17	17
"LOC106590497"	1	0	0	0	0	1	3	0
"LOC106590498"	0	0	0	0	1	0	0	1
"LOC106590500"	2	5	6	2	1	2	4	2
"LOC106590504"	618	486	487	456	564	500	546	434
"LOC106590506"	2	5	0	2	6	8	3	14
"LOC106590507"	67	27	106	87	15	23	39	23
"LOC106590509"	740	656	577	724	582	539	689	427
"LOC106590516"	0	1	0	1	1	10	0	10
"LOC106590517"	0	2	2	2	7	7	2	29
"LOC106590518"	1940	1716	1610	1631	1573	1701	2009	1246
"LOC106590519"	56	56	37	73	81	94	75	118
"LOC106590521"	143	199	181	209	239	346	302	350
"LOC106590523"	3178	3062	2240	3193	3033	3651	2837	4012
"LOC106590524"	170	162	144	155	201	140	145	161
"LOC106590526"	361	214	236	297	195	200	220	204
"LOC106590529"	75	73	64	136	50	32	4	24
"LOC106590530"	22	12	15	18	12	12	10	20
"LOC106590531"	13	19	6	9	12	7	10	17
"LOC106590532"	227	251	302	284	265	280	323	284
"LOC106590533"	126	104	137	114	133	169	156	168
"LOC106590535"	0	1	2	1	0	1	1	0
"LOC106590536"	157	122	166	188	99	157	71	63
"LOC106590537"	1	2	3	1	0	1	2	0
"LOC106590538"	84	24	81	14	79	11	67	7
"LOC106590539"	596	549	472	654	651	571	549	498
"LOC106590542"	16	11	5	9	20	9	7	7
"LOC106590546"	12	19	13	15	36	72	28	46
"LOC106590549"	0	1	0	0	0	0	0	0
"LOC106590552"	3084	2162	2072	2529	2106	1587	1853	1315
"LOC106590554"	0	0	0	0	0	0	0	0
"LOC106590556"	15	8	14	8	21	33	14	79
"LOC106590560"	9894	8701	7571	9367	8274	7197	7251	6164
"LOC106590561"	1938	1989	1684	1943	2088	1662	1855	1419
"LOC106590570"	1471	1186	1094	1298	1479	1106	1172	949
"LOC106590572"	3107	2383	2566	3085	2274	2330	2722	1871
"LOC106590573"	1001	1073	1227	1223	1149	1037	1097	883
"LOC106590574"	301	288	237	373	274	201	297	170
"LOC106590575"	0	0	0	1	0	0	0	12
"LOC106590582"	0	1	5	6	0	0	0	0
"LOC106590585"	0	2	3	3	3	6	5	4
"LOC106590587"	1409	1745	994	1245	1766	1393	1524	1206
"LOC106590589"	98	67	27	49	51	60	40	95
"LOC106590590"	8	9	29	7	12	1	11	11
"LOC106590592"	86	57	57	66	63	50	104	52
"LOC106590594"	266	205	212	343	301	178	257	231
"LOC106590595"	20	14	12	9	19	9	13	3
"LOC106590596"	0	3	2	1	9	16	9	28
"LOC106590600"	39	42	43	47	55	65	46	56
"LOC106590602"	1079	933	707	1193	914	435	1165	329
"LOC106590604"	897	927	821	947	836	922	917	1004
"LOC106590605"	0	0	1	0	0	0	2	0
"LOC106590608"	3073	2532	2534	2237	2384	2254	2523	1906
"LOC106590610"	7229	7294	6162	7376	6001	6451	6854	5928
"LOC106590611"	9	30	10	11	14	16	12	12
"LOC106590614"	6	1	0	2	2	1	1	2
"LOC106590615"	877	629	659	859	728	544	612	511
"LOC106590617"	137	92	95	106	88	58	109	78
"LOC106590619"	1	1	2	0	2	1	4	1
"LOC106590621"	2597	2477	2182	2061	2384	1995	2592	1486
"LOC106590623"	4247	3509	3300	3781	2980	2522	3124	1958
"LOC106590625"	1419	1722	1355	1476	1270	1228	1378	825
"LOC106590626"	1	1	0	3	1	16	9	24
"LOC106590627"	1485	1354	1139	1280	1390	1426	1163	1128
"LOC106590629"	35	63	46	43	64	144	87	240
"LOC106590630"	1139	967	989	1169	1021	963	1121	781
"LOC106590633"	528	513	484	548	476	525	523	522
"LOC106590637"	0	0	0	0	0	0	1	0
"LOC106590640"	247	328	194	216	292	272	212	150
"LOC106590643"	90	10	44	8	15	20	23	20
"LOC106590644"	1795	2431	1420	1189	1765	1195	2064	766
"LOC106590645"	1249	926	887	1135	969	966	1173	984
"LOC106590647"	1566	1399	1474	1458	1220	1088	1125	931
"LOC106590648"	3	13	8	12	29	41	33	94
"LOC106590649"	0	0	0	1	0	3	2	2
"LOC106590650"	4	5	8	4	7	24	11	38
"LOC106590651"	48	68	41	51	27	48	36	41
"LOC106590652"	463	501	474	482	646	902	685	957
"LOC106590653"	80	75	126	18	130	10	30	14
"LOC106590654"	6	7	3	6	5	4	6	10
"LOC106590655"	9	2	11	8	16	8	12	9
"LOC106590656"	0	3	1	1	3	4	2	2
"LOC106590657"	96	81	90	74	151	139	165	102
"LOC106590660"	0	0	2	1	0	0	0	0
"LOC106590663"	98	52	71	82	44	36	33	23
"LOC106590664"	0	0	0	0	0	0	0	1
"LOC106590665"	2	19	0	2	19	3	2	0
"LOC106590666"	1	0	0	1	0	1	2	1
"LOC106590668"	9412	10217	8613	10256	10573	17209	9885	18468
"LOC106590669"	40	39	47	22	52	48	90	133
"LOC106590672"	1108	1199	964	1011	935	1045	919	870
"LOC106590673"	2	1	2	2	2	19	3	4
"LOC106590674"	7	5	6	5	13	32	7	49
"LOC106590676"	5	4	6	4	9	23	17	16
"LOC106590679"	547	368	299	470	473	400	328	375
"LOC106590681"	38	11	40	19	12	109	24	167
"LOC106590683"	69	89	78	56	70	86	84	66
"LOC106590684"	0	0	0	0	0	0	0	0
"LOC106590685"	0	0	1	1	2	0	2	0
"LOC106590686"	0	0	0	0	0	0	0	0
"LOC106590690"	0	0	1	1	4	0	1	1
"LOC106590692"	137	137	121	123	116	91	84	113
"LOC106590697"	5	2	2	5	2	1	7	3
"LOC106590702"	0	0	1	1	2	0	0	0
"LOC106590705"	0	0	0	0	2	1	0	0
"LOC106590712"	242	124	240	322	94	120	167	99
"LOC106590714"	0	0	0	0	0	0	1	3
"LOC106590723"	637	596	590	657	721	537	636	492
"LOC106590724"	4253	4272	3778	3916	4471	3951	4586	4077
"LOC106590728"	0	0	0	0	0	0	0	0
"LOC106590732"	0	0	0	1	1	1	0	0
"LOC106590733"	8	9	2	5	20	6	7	3
"LOC106590734"	0	0	0	0	0	2	0	1
"LOC106590736"	2113	1232	1808	1863	1504	1193	1135	875
"LOC106590737"	38	44	46	38	67	85	61	57
"LOC106590738"	130	92	137	120	115	103	146	83
"LOC106590741"	161	211	185	124	285	222	253	203
"LOC106590745"	4	7	8	9	30	28	21	25
"LOC106590748"	0	10	4	6	13	45	11	94
"LOC106590749"	1	1	0	2	2	2	3	1
"LOC106590752"	8	9	13	7	25	50	39	47
"LOC106590754"	208	246	215	240	379	155	297	212
"LOC106590757"	20	23	6	11	13	21	17	6
"LOC106590758"	230	158	196	90	176	260	195	196
"LOC106590759"	3	1	0	0	1	9	2	22
"LOC106590760"	1	4	6	2	11	27	10	13
"LOC106590762"	0	4	0	0	0	1	1	4
"LOC106590763"	0	0	0	1	0	0	0	1
"LOC106590764"	18	8	16	6	14	19	12	4
"LOC106590765"	243	222	188	183	125	125	158	97
"LOC106590767"	18	8	7	11	24	36	30	41
"LOC106590768"	139	138	209	215	149	139	187	154
"LOC106590778"	0	1	0	2	3	7	1	2
"LOC106590786"	169	182	170	163	222	234	178	243
"LOC106590787"	0	0	0	0	0	0	0	0
"LOC106590795"	38	33	38	23	40	50	54	37
"LOC106590798"	0	0	0	0	0	0	0	0
"LOC106590799"	34	59	51	41	50	44	48	32
"LOC106590801"	325	154	152	129	137	276	369	125
"LOC106590802"	527	324	379	556	350	403	378	250
"LOC106590806"	149	75	57	106	88	91	33	42
"LOC106590807"	417	347	283	362	156	336	230	182
"LOC106590815"	340	323	262	297	286	310	239	230
"LOC106590816"	0	0	0	0	0	6	1	3
"LOC106590817"	1	0	0	0	0	0	1	0
"LOC106590818"	2	2	9	9	6	1	4	2
"LOC106590819"	153	138	137	127	105	99	90	91
"LOC106590825"	2	4	4	4	5	9	4	12
"LOC106590827"	0	0	0	0	0	0	0	0
"LOC106590829"	14	18	16	26	12	13	14	17
"LOC106590830"	0	0	0	0	0	1	1	0
"LOC106590833"	1042	1481	1139	1159	1487	2062	1588	1886
"LOC106590834"	1	2	3	2	0	3	0	1
"LOC106590850"	302	292	278	349	340	306	311	204
"LOC106590852"	1	1	0	0	2	2	6	16
"LOC106590856"	13	13	11	24	18	18	13	8
"LOC106590858"	383	327	338	354	285	239	242	218
"LOC106590859"	45	53	74	40	36	30	27	18
"LOC106590864"	53	43	54	55	68	56	74	88
"LOC106590866"	116	151	127	154	126	139	157	118
"LOC106590872"	28	26	27	43	33	61	47	43
"LOC106590875"	0	1	0	0	0	2	0	0
"LOC106590876"	737	383	301	452	2	470	283	2
"LOC106590880"	0	1	1	1	2	2	3	4
"LOC106590882"	6	4	1	5	4	4	4	6
"LOC106590884"	0	5	4	2	28	27	21	65
"LOC106590888"	1	1	4	5	0	0	0	6
"LOC106590891"	36	23	47	30	25	38	28	41
"LOC106590892"	1460	913	955	1228	1030	713	844	712
"LOC106590894"	1057	868	826	1096	910	898	826	854
"LOC106590909"	302	191	176	226	212	159	126	154
"LOC106590913"	2971	2342	2358	2849	2275	1979	1984	1736
"LOC106590915"	26	5	9	13	16	19	13	13
"LOC106590922"	2	1	1	1	1	0	0	0
"LOC106590923"	822	709	596	686	589	625	745	457
"LOC106590931"	251	149	115	72	94	87	55	53
"LOC106590934"	4	19	7	5	35	169	30	131
"LOC106590936"	0	0	0	0	0	0	0	0
"LOC106590939"	1	3	0	0	2	0	5	2
"LOC106590941"	2	4	0	4	6	4	2	1
"LOC106590942"	0	0	0	0	0	0	0	0
"LOC106590944"	11	4	2	0	6	2	16	7
"LOC106590945"	3	3	8	7	8	6	3	8
"LOC106590946"	36	22	11	13	16	9	5	6
"LOC106590947"	1202	929	828	1072	979	799	792	653
"LOC106590948"	13	7	13	7	17	12	9	3
"LOC106590949"	0	0	0	0	0	0	0	0
"LOC106590952"	753	15634	15094	979	823	21363	722	591
"LOC106590954"	1882	1555	1382	1553	1332	1101	1239	965
"LOC106590958"	9	8	7	0	0	5	3	2
"LOC106590959"	2	1	1	1	2	4	3	0
"LOC106590961"	0	0	0	0	0	0	0	0
"LOC106590962"	1	1	0	1	4	0	0	5
"LOC106590963"	1	1	1	0	1	1	0	1
"LOC106590969"	48	65	38	64	162	259	183	242
"LOC106590970"	8	8	9	5	8	7	8	5
"LOC106590971"	769	549	481	348	569	724	494	606
"LOC106590975"	2162	2042	1603	2003	2401	1851	2275	1778
"LOC106590977"	2	4	4	2	1	4	3	1
"LOC106590979"	1096	1019	835	1017	1039	956	1098	696
"LOC106590980"	0	0	0	0	0	0	0	0
"LOC106590981"	346	199	180	220	223	155	185	118
"LOC106590982"	501	331	285	400	496	436	435	384
"LOC106590985"	0	0	0	0	0	0	0	1
"LOC106590986"	0	0	0	0	0	0	0	0
"LOC106590989"	8	15	14	18	47	55	25	116
"LOC106590994"	228	186	148	156	192	181	173	208
"LOC106590995"	4	8	6	0	4	3	2	1
"LOC106590998"	0	0	0	0	0	0	0	0
"LOC106590999"	4	13	12	9	17	28	13	23
"LOC106591001"	0	0	0	0	0	1	1	1
"LOC106591005"	4	0	1	1	1	0	1	2
"LOC106591006"	2305	2161	2223	1952	2683	2384	2446	2073
"LOC106591007"	103	96	118	121	153	94	81	110
"LOC106591008"	11	9	6	12	10	19	10	16
"LOC106591009"	17	0	1	13	0	0	0	1
"LOC106591011"	1	0	1	1	1	0	1	0
"LOC106591012"	9	5	6	3	4	1	2	0
"LOC106591014"	3	2	3	6	0	5	2	2
"LOC106591023"	89	65	44	68	30	25	35	35
"LOC106591027"	2	5	6	5	2	5	1	4
"LOC106591029"	0	0	0	0	0	0	0	0
"LOC106591031"	119	96	125	113	183	203	190	213
"LOC106591034"	1110	1057	1011	1326	1280	1045	1299	994
"LOC106591035"	17	9	8	5	9	19	14	14
"LOC106591038"	1013	1046	859	693	1411	1145	1250	843
"LOC106591039"	8	4	5	4	13	4	5	3
"LOC106591045"	272	160	162	206	136	134	129	110
"LOC106591046"	0	1	0	0	0	0	0	3
"LOC106591047"	27	27	33	21	51	95	43	114
"LOC106591048"	764	1016	578	655	515	695	538	562
"LOC106591050"	1	1	1	0	0	1	0	0
"LOC106591053"	0	0	4	5	6	13	2	6
"LOC106591056"	6	9	8	6	14	64	45	51
"LOC106591060"	1	1	0	0	2	3	1	0
"LOC106591064"	5	20	12	21	41	53	18	187
"LOC106591065"	12	11	13	9	16	47	22	16
"LOC106591067"	0	0	0	0	0	0	0	0
"LOC106591072"	5	0	4	9	9	1	6	3
"LOC106591073"	2	1	0	1	1	0	1	1
"LOC106591074"	415	206	167	257	257	150	189	141
"LOC106591075"	250	154	106	182	185	115	163	105
"LOC106591076"	189	106	110	89	99	91	118	110
"LOC106591080"	0	0	0	0	1	0	0	0
"LOC106591081"	0	0	0	0	0	0	1	0
"LOC106591086"	0	0	0	0	0	0	0	0
"LOC106591088"	9	10	1	10	13	13	16	15
"LOC106591089"	64	26	66	51	82	13	79	58
"LOC106591093"	1	0	0	0	0	0	0	0
"LOC106591099"	26	30	19	35	46	35	26	50
"LOC106591100"	6	13	13	13	20	47	30	33
"LOC106591101"	1990	1864	1540	2031	2005	1842	1768	1874
"LOC106591106"	10	11	9	4	14	17	4	17
"LOC106591110"	3638	3024	2949	3008	3776	3622	3365	3531
"LOC106591111"	11398	8368	8919	8718	8084	6919	7351	5768
"LOC106591118"	996	1124	827	748	1149	751	926	622
"LOC106591119"	0	1	1	0	2	1	1	0
"LOC106591120"	561	521	419	543	577	466	599	372
"LOC106591122"	366	552	458	390	484	545	540	476
"LOC106591123"	197	226	214	188	322	364	321	278
"LOC106591125"	45	16	59	58	101	93	113	146
"LOC106591126"	3	2	0	1	5	22	7	56
"LOC106591129"	120	86	113	103	116	80	126	85
"LOC106591130"	32	37	40	67	51	121	51	92
"LOC106591131"	961	709	908	1135	735	804	719	667
"LOC106591133"	1249	1907	1170	1381	1159	2225	1360	1241
"LOC106591138"	0	0	0	0	10	1	0	0
"LOC106591140"	81	41	113	54	70	32	110	33
"LOC106591143"	905	715	482	889	688	612	841	528
"LOC106591145"	0	0	0	0	0	1	0	1
"LOC106591150"	0	0	0	0	0	0	0	0
"LOC106591151"	3	3	10	8	6	2	3	1
"LOC106591155"	55	45	36	55	42	72	57	51
"LOC106591157"	41	36	21	21	25	22	37	26
"LOC106591159"	28	10	16	18	16	5	16	16
"LOC106591168"	278	323	290	375	249	277	351	216
"LOC106591169"	145	159	176	147	217	162	264	112
"LOC106591170"	46	31	27	6	43	24	60	41
"LOC106591173"	5	0	4	1	1	1	2	1
"LOC106591174"	0	0	0	0	0	0	0	0
"LOC106591175"	0	0	0	0	0	0	0	0
"LOC106591176"	56	71	66	79	69	97	84	41
"LOC106591178"	196	235	178	168	284	343	352	230
"LOC106591183"	118	84	76	99	78	84	71	59
"LOC106591184"	0	6	2	1	1	3	4	1
"LOC106591188"	2	0	2	0	0	0	2	0
"LOC106591189"	0	0	0	2	8	10	12	20
"LOC106591190"	25	23	49	16	30	20	26	35
"LOC106591193"	0	0	0	0	0	1	0	0
"LOC106591200"	53	1	3	2	2	0	0	42
"LOC106591203"	334	291	225	319	316	248	304	240
"LOC106591210"	6	27	13	3	13	30	24	4
"LOC106591213"	2	3	1	2	0	0	2	0
"LOC106591216"	55	47	45	56	79	174	86	105
"LOC106591218"	52	60	15	88	72	82	73	56
"LOC106591219"	0	0	0	0	0	0	0	0
"LOC106591221"	113	89	33	77	57	46	57	52
"LOC106591222"	0	0	0	0	0	0	0	0
"LOC106591223"	103	144	111	140	281	402	359	363
"LOC106591224"	1	0	2	3	3	4	14	11
"LOC106591225"	85	111	73	94	114	137	93	78
"LOC106591226"	0	2	1	1	13	2	11	16
"LOC106591232"	6	6	1	2	2	33	14	12
"LOC106591235"	38	29	14	21	9	10	18	12
"LOC106591238"	91	91	130	81	99	78	140	58
"LOC106591240"	556	683	808	632	845	847	807	957
"LOC106591243"	33	12	107	39	17	12	31	22
"LOC106591245"	7	5	3	4	9	36	0	4
"LOC106591246"	0	0	0	0	0	0	0	13
"LOC106591254"	1	1	2	2	1	8	0	0
"LOC106591255"	391	328	260	382	330	272	270	225
"LOC106591256"	221	240	225	205	215	194	233	156
"LOC106591257"	526	2208	1834	1738	3006	1573	2384	2173
"LOC106591258"	51	47	39	57	55	61	54	30
"LOC106591260"	0	1	1	1	0	1	3	0
"LOC106591265"	8	6	1	7	1	5	7	4
"LOC106591268"	3	5	2	0	8	68	4	37
"LOC106591271"	0	0	0	0	0	1	0	0
"LOC106591275"	0	4	0	0	3	12	1	36
"LOC106591278"	4	7	2	2	9	11	7	36
"LOC106591281"	925	753	816	776	912	840	951	582
"LOC106591283"	345	227	194	296	272	203	220	165
"LOC106591286"	6454	3161	2240	6318	2522	2300	2362	3373
"LOC106591288"	43	42	24	46	52	32	43	19
"LOC106591291"	224	144	118	140	413	356	188	321
"LOC106591296"	131	192	159	132	199	135	216	128
"LOC106591299"	6	13	9	7	11	31	10	47
"LOC106591301"	1	1	3	2	1	1	0	2
"LOC106591308"	9	28	10	28	16	36	5	15
"LOC106591310"	5	1	11	20	0	0	0	1
"LOC106591313"	315	515	415	362	420	441	480	309
"LOC106591314"	269	233	270	265	335	525	500	457
"LOC106591318"	44	11	15	16	24	16	24	17
"LOC106591322"	2971	2030	1735	2459	1861	1675	1717	1336
"LOC106591324"	0	1	0	1	0	0	0	0
"LOC106591325"	0	0	1	1	0	1	3	0
"LOC106591327"	1	0	0	0	0	0	0	0
"LOC106591328"	112	152	140	150	208	189	215	213
"LOC106591332"	1	1	0	0	1	0	2	0
"LOC106591336"	8	15	10	4	13	11	11	6
"LOC106591338"	0	0	0	0	0	4	2	43
"LOC106591342"	0	5	4	1	8	10	4	17
"LOC106591343"	529	478	472	495	486	497	704	392
"LOC106591344"	78	118	67	79	84	80	96	65
"LOC106591349"	44	50	68	50	118	186	82	109
"LOC106591352"	9	26	0	15	38	22	23	5
"LOC106591355"	94	74	70	73	95	153	103	115
"LOC106591358"	0	3	0	2	5	1	0	1
"LOC106591360"	212	7	153	47	15	13	14	16
"LOC106591361"	0	1	0	3	0	2	1	5
"LOC106591365"	0	1	0	3	0	0	1	0
"LOC106591367"	0	149	1	1	0	2	1	0
"LOC106591370"	0	0	0	0	0	0	0	0
"LOC106591371"	3205	3299	2532	3045	3090	2495	3222	1917
"LOC106591373"	42	40	36	22	29	37	24	13
"LOC106591377"	0	5	1	4	3	6	1	4
"LOC106591388"	25	26	14	21	22	21	31	40
"LOC106591389"	713	430	416	371	294	546	629	582
"LOC106591393"	7	11	5	4	16	41	16	109
"LOC106591394"	0	0	0	0	0	0	0	0
"LOC106591397"	2	2	3	2	1	1	4	0
"LOC106591398"	35	48	34	58	119	209	121	180
"LOC106591402"	0	1	1	1	1	5	2	16
"LOC106591404"	0	0	0	0	0	0	0	0
"LOC106591405"	2	0	0	1	0	1	0	1
"LOC106591406"	13	3	3	5	2	0	2	3
"LOC106591416"	8	7	4	6	9	10	18	11
"LOC106591423"	5	14	10	5	18	11	1	20
"LOC106591430"	2	7	10	1	11	5	16	30
"LOC106591432"	53	52	36	45	93	63	66	51
"LOC106591433"	0	0	0	0	1	0	1	0
"LOC106591435"	0	1	0	1	1	4	0	7
"LOC106591436"	0	0	0	0	0	0	0	0
"LOC106591438"	11	6	1	3	3	8	3	3
"LOC106591439"	0	0	0	0	0	111	0	0
"LOC106591443"	0	0	0	0	0	0	0	0
"LOC106591444"	24	11	13	10	5	18	10	19
"LOC106591448"	1	0	0	2	0	0	0	1
"LOC106591449"	1	0	0	0	1	0	0	0
"LOC106591450"	0	0	0	0	0	0	0	0
"LOC106591452"	119	133	117	125	119	114	180	99
"LOC106591455"	0	1	1	0	0	4	1	1
"LOC106591456"	30	8	4	4	3	5	6	6
"LOC106591457"	18	14	15	3	2	3	11	5
"LOC106591465"	3306	2740	2348	3127	2721	2422	2017	2226
"LOC106591468"	1	2	3	3	9	9	1	5
"LOC106591469"	30	32	26	42	68	135	63	99
"LOC106591471"	0	0	0	0	0	0	0	0
"LOC106591474"	0	0	0	0	0	0	0	0
"LOC106591477"	476	468	534	597	316	368	499	294
"LOC106591478"	326	289	228	214	225	168	184	147
"LOC106591480"	14	16	9	9	33	96	55	116
"LOC106591483"	33	27	36	15	28	27	83	62
"LOC106591484"	710	691	607	271	782	714	631	552
"LOC106591488"	0	0	0	0	0	0	0	0
"LOC106591490"	2	2	1	6	11	29	12	51
"LOC106591492"	3	2	4	3	4	7	8	6
"LOC106591493"	97	102	74	93	76	124	110	45
"LOC106591498"	0	0	0	0	0	0	0	0
"LOC106591500"	0	0	0	0	0	0	0	0
"LOC106591501"	0	0	0	0	0	0	0	0
"LOC106591502"	3	6	8	5	2	0	1	0
"LOC106591503"	135	220	150	214	330	540	356	619
"LOC106591504"	715	614	613	543	614	738	831	507
"LOC106591508"	33	16	14	32	34	22	25	21
"LOC106591515"	1	4	2	3	8	31	9	37
"LOC106591519"	0	0	0	0	1	1	0	0
"LOC106591520"	3	2	2	12	4	11	15	1
"LOC106591522"	0	0	4	0	2	0	1	1
"LOC106591528"	1386	1191	1154	1449	1392	1039	1178	1023
"LOC106591530"	0	0	0	0	0	0	0	0
"LOC106591539"	0	0	0	0	0	0	0	0
"LOC106591543"	2	2	2	6	1	1	2	0
"LOC106591546"	1626	1347	1363	1585	1082	1074	1214	774
"LOC106591551"	1	3	1	1	0	4	2	0
"LOC106591553"	0	0	0	0	0	0	0	0
"LOC106591554"	665	616	381	295	507	649	675	498
"LOC106591559"	55	53	34	39	59	95	113	63
"LOC106591560"	0	0	0	0	0	1	1	2
"LOC106591561"	0	0	0	0	0	0	0	2
"LOC106591565"	0	0	0	0	0	0	1	0
"LOC106591568"	8	4	11	11	21	53	29	35
"LOC106591571"	0	0	0	1	1	3	3	7
"LOC106591572"	25	16	10	27	23	54	32	55
"LOC106591573"	12	6	8	2	12	27	17	36
"LOC106591582"	123	72	132	145	326	374	302	360
"LOC106591588"	4	0	1	5	9	16	14	43
"LOC106591594"	0	0	0	0	1	0	1	0
"LOC106591603"	10	11	24	20	13	17	14	5
"LOC106591609"	38	16	9	16	18	31	43	101
"LOC106591612"	1	0	0	0	0	0	0	0
"LOC106591619"	0	0	0	0	0	0	0	0
"LOC106591621"	0	0	0	0	1	0	0	0
"LOC106591622"	2	0	3	1	0	4	0	0
"LOC106591623"	0	0	0	0	0	0	0	1
"LOC106591624"	963	812	1000	870	1052	809	745	501
"LOC106591625"	48	72	32	39	34	30	50	28
"LOC106591626"	86	104	101	81	97	111	97	90
"LOC106591628"	53	36	55	64	41	34	21	22
"LOC106591630"	2	1	0	0	0	0	0	0
"LOC106591635"	0	0	0	0	0	0	0	0
"LOC106591637"	0	0	0	0	0	0	0	0
"LOC106591638"	247	229	260	233	229	220	191	137
"LOC106591640"	187	1421	1251	1383	874	1381	1110	833
"LOC106591641"	19	21	24	27	9	11	34	15
"LOC106591642"	10	8	6	20	33	86	26	61
"LOC106591649"	66	57	71	33	61	63	59	87
"LOC106591654"	23	30	20	18	17	10	26	20
"LOC106591656"	4	9	3	13	19	52	16	36
"LOC106591659"	573	466	364	583	428	425	435	321
